slug,name,item_class,max_ilvl,min_mod_level,description,image_url,fetched_at
Ancient_Collarbone,Ancient Collarbone,Amulet/Ring/Belt,,40,"Desecrates a Rare Amulet, Ring or Belt",https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/AncientClavicle.webp,2026-04-30T06:24:04Z
Gnawed_Collarbone,Gnawed Collarbone,Amulet/Ring/Belt,64,,"Desecrates a Rare Amulet, Ring or Belt",https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/GnawedClavicle.webp,2026-04-30T06:24:04Z
Preserved_Collarbone,Preserved Collarbone,Amulet/Ring/Belt,,,"Desecrates a Rare Amulet, Ring or Belt",https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/PreservedCalvicle.webp,2026-04-30T06:24:04Z
Ancient_Rib,Ancient Rib,Armour,,40,Desecrates a Rare Armour,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/AncientRibs.webp,2026-04-30T06:24:04Z
Gnawed_Rib,Gnawed Rib,Armour,64,,Desecrates a Rare Armour,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/GnawedRibs.webp,2026-04-30T06:24:04Z
Preserved_Rib,Preserved Rib,Armour,,,Desecrates a Rare Armour,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/PreservedRibs.webp,2026-04-30T06:24:04Z
Preserved_Cranium,Preserved Cranium,Jewel,,,Desecrates a Rare Jewel,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/PreservedCranium.webp,2026-04-30T06:24:04Z
Preserved_Vertebrae,Preserved Vertebrae,Waystone,,,Desecrates a Rare Waystone,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/PreservedSpine.webp,2026-04-30T06:24:04Z
Ancient_Jawbone,Ancient Jawbone,Weapon/Quiver,,40,Desecrates a Rare Weapon or Quiver,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/AncientJawbone.webp,2026-04-30T06:24:04Z
Gnawed_Jawbone,Gnawed Jawbone,Weapon/Quiver,64,,Desecrates a Rare Weapon or Quiver,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/GnawedJawbone.webp,2026-04-30T06:24:04Z
Preserved_Jawbone,Preserved Jawbone,Weapon/Quiver,,,Desecrates a Rare Weapon or Quiver,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/PreservedJawbone.webp,2026-04-30T06:24:04Z
