name,price_ex,source
Ancient Collarbone,147,poe.ninja snapshot 2026-04-30 (legacy; replace via scripts/update-poe2-rates.sh)
Tecrod's Gaze,146,poe.ninja snapshot 2026-04-30 (legacy; replace via scripts/update-poe2-rates.sh)
Ancient Jawbone,100,poe.ninja snapshot 2026-04-30 (legacy; replace via scripts/update-poe2-rates.sh)
Ancient Rib,34,poe.ninja snapshot 2026-04-30 (legacy; replace via scripts/update-poe2-rates.sh)
Kulemak's Invitation,5.8,poe.ninja snapshot 2026-04-30 (legacy; replace via scripts/update-poe2-rates.sh)
Preserved Cranium,3.6,poe.ninja snapshot 2026-04-30 (legacy; replace via scripts/update-poe2-rates.sh)
Kurgal's Gaze,3.5,poe.ninja snapshot 2026-04-30 (legacy; replace via scripts/update-poe2-rates.sh)
Amanamu's Gaze,2.6,poe.ninja snapshot 2026-04-30 (legacy; replace via scripts/update-poe2-rates.sh)
Ulaman's Gaze,2.0,poe.ninja snapshot 2026-04-30 (legacy; replace via scripts/update-poe2-rates.sh)
Preserved Collarbone,1.8,poe.ninja snapshot 2026-04-30 (legacy; replace via scripts/update-poe2-rates.sh)
Gnawed Rib,1.5,poe.ninja snapshot 2026-04-30 (legacy; replace via scripts/update-poe2-rates.sh)
Preserved Jawbone,0.357,poe.ninja snapshot 2026-04-30 (legacy; replace via scripts/update-poe2-rates.sh) (1 ex = 2.8 units)
Preserved Rib,0.357,poe.ninja snapshot 2026-04-30 (legacy; replace via scripts/update-poe2-rates.sh) (1 ex = 2.8 units)
Gnawed Collarbone,0.139,poe.ninja snapshot 2026-04-30 (legacy; replace via scripts/update-poe2-rates.sh) (1 ex = 7.2 units)
Gnawed Jawbone,0.139,poe.ninja snapshot 2026-04-30 (legacy; replace via scripts/update-poe2-rates.sh) (1 ex = 7.2 units)
