name,price_ex,source
Lesser Essence of the Body,44.1,placeholder (7 chaos)
Lesser Essence of the Mind,44.1,placeholder (7 chaos)
Lesser Essence of Enhancement,44.1,placeholder (7 chaos)
Lesser Essence of Abrasion,44.1,placeholder (7 chaos)
Lesser Essence of Flames,15,poe.ninja screenshot 2026-04-29
Lesser Essence of Ice,44.1,placeholder (7 chaos)
Lesser Essence of Electricity,44.1,placeholder (7 chaos)
Lesser Essence of Ruin,17000,poe.ninja screenshot 2026-04-29
Lesser Essence of Battle,44.1,placeholder (7 chaos)
Lesser Essence of Sorcery,44.1,placeholder (7 chaos)
Lesser Essence of Haste,44.1,placeholder (7 chaos)
Lesser Essence of the Infinite,44.1,placeholder (7 chaos)
Lesser Essence of Seeking,44.1,placeholder (7 chaos)
Lesser Essence of Insulation,44.1,placeholder (7 chaos)
Lesser Essence of Thawing,44.1,placeholder (7 chaos)
Lesser Essence of Grounding,44.1,placeholder (7 chaos)
Lesser Essence of Alacrity,44.1,placeholder (7 chaos)
Lesser Essence of Opulence,44.1,placeholder (7 chaos)
Lesser Essence of Command,44.1,placeholder (7 chaos)
Essence of the Body,44.1,placeholder (7 chaos)
Essence of the Mind,44.1,placeholder (7 chaos)
Essence of Enhancement,44.1,placeholder (7 chaos)
Essence of Abrasion,10,poe.ninja screenshot 2026-04-29
Essence of Flames,44.1,placeholder (7 chaos)
Essence of Ice,44.1,placeholder (7 chaos)
Essence of Electricity,44.1,placeholder (7 chaos)
Essence of Ruin,44.1,placeholder (7 chaos)
Essence of Battle,44.1,placeholder (7 chaos)
Essence of Sorcery,44.1,placeholder (7 chaos)
Essence of Haste,16,poe.ninja screenshot 2026-04-29
Essence of the Infinite,44.1,placeholder (7 chaos)
Essence of Seeking,10,poe.ninja screenshot 2026-04-29
Essence of Insulation,44.1,placeholder (7 chaos)
Essence of Thawing,44.1,placeholder (7 chaos)
Essence of Grounding,44.1,placeholder (7 chaos)
Essence of Alacrity,5.0,poe.ninja screenshot 2026-04-29
Essence of Opulence,44.1,placeholder (7 chaos)
Essence of Command,5.0,poe.ninja screenshot 2026-04-29
Greater Essence of the Body,44.1,placeholder (7 chaos)
Greater Essence of the Mind,44.1,placeholder (7 chaos)
Greater Essence of Enhancement,44.1,placeholder (7 chaos)
Greater Essence of Abrasion,44.1,placeholder (7 chaos)
Greater Essence of Flames,44.1,placeholder (7 chaos)
Greater Essence of Ice,44.1,placeholder (7 chaos)
Greater Essence of Electricity,44.1,placeholder (7 chaos)
Greater Essence of Ruin,44.1,placeholder (7 chaos)
Greater Essence of Battle,44.1,placeholder (7 chaos)
Greater Essence of Sorcery,44.1,placeholder (7 chaos)
Greater Essence of Haste,44.1,placeholder (7 chaos)
Greater Essence of the Infinite,44.1,placeholder (7 chaos)
Greater Essence of Seeking,7.5,poe.ninja screenshot 2026-04-29
Greater Essence of Insulation,44.1,placeholder (7 chaos)
Greater Essence of Thawing,44.1,placeholder (7 chaos)
Greater Essence of Grounding,44.1,placeholder (7 chaos)
Greater Essence of Alacrity,6.9,poe.ninja screenshot 2026-04-29
Greater Essence of Opulence,44.1,placeholder (7 chaos)
Greater Essence of Command,10,poe.ninja screenshot 2026-04-29
Perfect Essence of the Body,44.1,placeholder (7 chaos)
Perfect Essence of the Mind,12,poe.ninja screenshot 2026-04-29
Perfect Essence of Enhancement,13,poe.ninja screenshot 2026-04-29
Perfect Essence of Abrasion,9.4,poe.ninja screenshot 2026-04-29
Perfect Essence of Flames,44.1,placeholder (7 chaos)
Perfect Essence of Ice,44.1,placeholder (7 chaos)
Perfect Essence of Electricity,44.1,placeholder (7 chaos)
Perfect Essence of Ruin,44.1,placeholder (7 chaos)
Perfect Essence of Battle,15,poe.ninja screenshot 2026-04-29
Perfect Essence of Sorcery,44.1,placeholder (7 chaos)
Perfect Essence of Haste,25,poe.ninja screenshot 2026-04-29
Perfect Essence of the Infinite,44.1,placeholder (7 chaos)
Perfect Essence of Seeking,44.1,placeholder (7 chaos)
Perfect Essence of Insulation,44.1,placeholder (7 chaos)
Perfect Essence of Thawing,9.8,poe.ninja screenshot 2026-04-29
Perfect Essence of Grounding,44.1,placeholder (7 chaos)
Perfect Essence of Alacrity,44.1,placeholder (7 chaos)
Perfect Essence of Opulence,9.4,poe.ninja screenshot 2026-04-29
Perfect Essence of Command,44.1,placeholder (7 chaos)
Essence of Hysteria,5.0,poe.ninja screenshot 2026-04-29
Essence of Delirium,7.3,poe.ninja screenshot 2026-04-29
Essence of Horror,18,poe.ninja screenshot 2026-04-29
Essence of Insanity,44.1,placeholder (7 chaos)
Essence of the Abyss,2.9,poe.ninja screenshot 2026-04-29
