name,tier,target_affix,side,guarantee,notes,item_classes,matched_mods,poe2db_slug
Lesser Essence of the Body,Lesser,+(30—39) to maximum Life (Armour/Belt) or +(20—29) (Jewellery),PREFIX,guaranteed,Upgrades Magic to Rare,Amulet|Belt|Body Armour|Boots|Buckler|Gloves|Helmet|Ring|Shield,,Lesser_Essence_of_the_Body
Lesser Essence of the Mind,Lesser,+(25—34) to maximum Mana,PREFIX,guaranteed,"Belt, Boots, Gloves, Helmet or Jewellery",Amulet|Belt|Boots|Focus|Gloves|Helmet|Ring|Sceptre|Staff|Wand,,Lesser_Essence_of_the_Mind
Lesser Essence of Enhancement,Lesser,"(27—42)% increased Armour, Evasion or Energy Shield",PREFIX,guaranteed,Armour only,Amulet|Body Armour|Boots|Gloves|Helmet|Shield,,Lesser_Essence_of_Enhancement
Lesser Essence of Abrasion,Lesser,Adds Physical Damage to weapons,UNKNOWN,guaranteed,One/Two-handed weapons differ,,,Lesser_Essence_of_Abrasion
Lesser Essence of Flames,Lesser,Adds Fire Damage to weapons,UNKNOWN,guaranteed,One/Two-handed weapons differ,,,Lesser_Essence_of_Flames
Lesser Essence of Ice,Lesser,Adds Cold Damage to weapons,UNKNOWN,guaranteed,One/Two-handed weapons differ,,,Lesser_Essence_of_Ice
Lesser Essence of Electricity,Lesser,Adds Lightning Damage to weapons,UNKNOWN,guaranteed,One/Two-handed weapons differ,,,Lesser_Essence_of_Electricity
Lesser Essence of Ruin,Lesser,+(4—7)% to Chaos Resistance,SUFFIX,guaranteed,"Armour, Belt or Jewellery",Amulet|Belt|Body Armour|Boots|Buckler|Focus|Gloves|Helmet|Ring|Shield,,Lesser_Essence_of_Ruin
Lesser Essence of Battle,Lesser,+(61—84) to Accuracy Rating,PREFIX,guaranteed,Martial Weapons only,Amulet|Bow|Crossbow|Gloves|Helmet|One Hand Mace|Quiver|Ring|Spear|Talisman|Two Hand Mace|Warstaff,,Lesser_Essence_of_Battle
Lesser Essence of Sorcery,Lesser,Increased Spell Damage (35—44)% Wand or (69—88)% Staff,UNKNOWN,guaranteed,"Focus, Wand, or Staff",,,Lesser_Essence_of_Sorcery
