slug,kind,name,description,image_url,fetched_at
Adaptive_Catalyst,currency,Adaptive Catalyst,Adds quality that enhances Attribute modifiers on a ring or amulet Replaces other quality types,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Breach/BreachCatalystAttribute.webp,2026-05-01T14:01:37Z
Architects_Orb,currency,Architect's Orb,Modifies a Corrupted Equipment or Jewel item unpredictably or destroys it,https://cdn.poe2db.tw/image/Art/2DItems/Currency/IncursionCraftingOrbs/IncursionGreaterVaalOrb.webp,2026-05-01T14:01:37Z
Artificers_Orb,currency,Artificer's Orb,Adds an Augment Socket to a Martial Weapon or Armour,https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyAddEquipmentSocket.webp,2026-05-01T14:01:37Z
Carapace_Catalyst,currency,Carapace Catalyst,Adds quality that enhances Defence modifiers on a ring or amulet Replaces other quality types,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Breach/BreachCatalystDefences.webp,2026-05-01T14:01:37Z
Chaos_Orb,currency,Chaos Orb,Removes a random modifier and augments a Rare item with a new random modifier.,https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyRerollRare.webp,2026-05-01T14:01:37Z
Chayulas_Catalyst,currency,Chayula's Catalyst,Adds quality that enhances Chaos modifiers on a ring or amulet Replaces other quality types,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Breach/BreachCatalystChaos.webp,2026-05-01T14:01:37Z
Divine_Orb,currency,Divine Orb,Randomises the numeric values of modifiers on an item,https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyModValues.webp,2026-05-01T14:01:37Z
Eshs_Catalyst,currency,Esh's Catalyst,Adds quality that enhances Lightning modifiers on a ring or amulet Replaces other quality types,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Breach/BreachCatalystLightning.webp,2026-05-01T14:01:37Z
Exalted_Orb,currency,Exalted Orb,Augments a Rare item with a new random modifier,https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyAddModToRare.webp,2026-05-01T14:01:37Z
Flesh_Catalyst,currency,Flesh Catalyst,Adds quality that enhances Life modifiers on a ring or amulet Replaces other quality types,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Breach/BreachCatalystLife.webp,2026-05-01T14:01:37Z
Fracturing_Orb,currency,Fracturing Orb,"Fracture a random modifier on a rare item with at least 4 modifiers, locking it in place.",https://cdn.poe2db.tw/image/Art/2DItems/Currency/FracturingOrb.webp,2026-05-01T14:01:37Z
Greater_Chaos_Orb,currency,Greater Chaos Orb,Removes a random modifier and augments a Rare item with a new random modifier,https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyRerollRare.webp,2026-05-01T14:01:37Z
Greater_Exalted_Orb,currency,Greater Exalted Orb,Augments a Rare item with a new random modifier,https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyAddModToRare.webp,2026-05-01T14:01:37Z
