name,value_raw,display_unit
Mirror of Kalandra,254k,chaos
Hinekora's Lock,42k,chaos
Fracturing Orb,1.4k,chaos
Crystallised Corruption,125,chaos
Vaal Cultivation Orb,62,chaos
Ancient Infuser,37,chaos
Perfect Chaos Orb,33,chaos
Orb of Extraction,31,chaos
Divine Orb,26,chaos
Vaal Infuser,26,chaos
Architect's Orb,11,chaos
Perfect Exalted Orb,3.2,chaos
Greater Chaos Orb,2.3,chaos
Perfect Jeweller's Orb,1.6,chaos
Vaal Siphoner,1.6,chaos
Arcanist's Etcher,1.5,chaos
Orb of Annulment,1.5,chaos
Core Destabiliser,1.4,chaos
Gemcutter's Prism,1.4,chaos
Perfect Regal Orb,1.0,chaos
Armourer's Scrap,1.0,chaos
Chaos Orb,1.0,chaos
Orb of Chance,1.0,chaos
Perfect Orb of Augmentation,1.0,chaos
Vaal Orb,1.0,chaos
Greater Jeweller's Orb,1.0,chaos
Artificer's Orb,1.0,chaos
Glassblower's Bauble,1.0,chaos
Greater Exalted Orb,1.0,chaos
Chance Shard,1.0,chaos
Blacksmith's Whetstone,1.0,chaos
Perfect Orb of Transmutation,1.0,chaos
Greater Regal Orb,1.0,chaos
Exalted Orb,1.0,chaos
Lesser Jeweller's Orb,1.0,chaos
Regal Orb,1.0,chaos
Orb of Alchemy,1.0,chaos
Scroll of Wisdom,1.0,chaos
Orb of Augmentation,1.0,chaos
Greater Orb of Transmutation,1.0,chaos
