name,value_raw,display_unit
Essence of Insulation,528,chaos
Essence of Horror,501,chaos
Essence of Seeking,264,chaos
Essence of Hysteria,169,chaos
Essence of Alacrity,158,chaos
Essence of Ruin,79,chaos
Essence of Sorcery,79,chaos
Essence of the Abyss,73,chaos
Perfect Essence of Alacrity,56,chaos
Perfect Essence of Command,41,chaos
Essence of Abrasion,26,chaos
Essence of Insanity,26,chaos
Lesser Essence of the Body,26,chaos
Essence of Delirium,22,chaos
Lesser Essence of Electricity,13,chaos
Greater Essence of Haste,9.6,chaos
Perfect Essence of Thawing,8.8,chaos
Lesser Essence of Haste,8.3,chaos
Perfect Essence of Opulence,8.1,chaos
Greater Essence of Command,8.1,chaos
Perfect Essence of Sorcery,3.9,chaos
Perfect Essence of Haste,3.6,chaos
Greater Essence of Ruin,3.0,chaos
Perfect Essence of Battle,2.9,chaos
Essence of Opulence,2.8,chaos
Perfect Essence of Ruin,2.8,chaos
Perfect Essence of the Body,2.7,chaos
Greater Essence of Abrasion,2.2,chaos
Perfect Essence of the Mind,2.1,chaos
Perfect Essence of Enhancement,2.0,chaos
Perfect Essence of Electricity,1.9,chaos
Greater Essence of Electricity,1.6,chaos
Perfect Essence of Ice,1.5,chaos
Greater Essence of Seeking,1.3,chaos
Perfect Essence of Flames,1.3,chaos
Lesser Essence of Thawing,1.0,chaos
Greater Essence of Alacrity,1.0,chaos
Greater Essence of Opulence,1.0,chaos
Lesser Essence of Seeking,1.0,chaos
Perfect Essence of Seeking,1.0,chaos
