name,value_raw,display_unit
Omen of Sinistral Annulment,2.5k,chaos
Omen of Sinistral Erasure,2.4k,chaos
Omen of Light,2.3k,chaos
Omen of Dextral Erasure,2.3k,chaos
Omen of Dextral Annulment,2.2k,chaos
Omen of Whittling,1.8k,chaos
Omen of Chance,876,chaos
Omen of Sanctification,125,chaos
Omen of the Blessed,90,chaos
Omen of Abyssal Echoes,74,chaos
Omen of Dextral Crystallisation,65,chaos
Omen of Sinistral Crystallisation,23,chaos
Omen of the Blackblooded,23,chaos
Omen of Corruption,17,chaos
Omen of the Hunt,8.1,chaos
Omen of Sinistral Exaltation,7.0,chaos
Omen of Reinforcements,6.9,chaos
Omen of Dextral Exaltation,6.8,chaos
Omen of Recombination,6.3,chaos
Omen of the Sovereign,3.2,chaos
Omen of Catalysing Exaltation,3.2,chaos
Omen of Resurgence,2.8,chaos
Omen of Dextral Necromancy,2.3,chaos
Omen of Greater Exaltation,1.9,chaos
Omen of Putrefaction,1.8,chaos
Omen of Amelioration,1.6,chaos
Omen of Answered Prayers,1.4,chaos
Omen of Secret Compartments,1.4,chaos
Omen of Bartering,1.4,chaos
Omen of Chaotic Monsters,1.3,chaos
Omen of Sinistral Necromancy,1.1,chaos
Omen of the Ancients,1.0,chaos
Omen of Refreshment,1.0,chaos
Omen of Chaotic Quantity,1.0,chaos
Omen of Chaotic Rarity,1.0,chaos
Omen of the Liege,1.0,chaos
Petition Splinter,1.0,chaos
Omen of Gambling,1.0,chaos
