BASE,TYPE,NAME,1,2,3,4,5,6,7,8,9,10,11,12,13,ItemClass
BOOTS (INT),PREFIX,#% increased Energy Shield,LocalIncreasedEnergyShieldPercent7_,LocalIncreasedEnergyShieldPercent6,LocalIncreasedEnergyShieldPercent5,LocalIncreasedEnergyShieldPercent4,LocalIncreasedEnergyShieldPercent3,LocalIncreasedEnergyShieldPercent2,LocalIncreasedEnergyShieldPercent1,,,,,,,Boots
BOOTS (INT),PREFIX,"#% increased Energy Shield, # to Stun Threshold",LocalEnergyShieldAndStunThreshold6,LocalEnergyShieldAndStunThreshold5,LocalEnergyShieldAndStunThreshold4,LocalEnergyShieldAndStunThreshold3,LocalEnergyShieldAndStunThreshold2,LocalEnergyShieldAndStunThreshold1,,,,,,,,Boots
BOOTS (INT),PREFIX,#% increased Movement Speed,MovementVelocity6,MovementVelocity5,MovementVelocity4,MovementVelocity3,MovementVelocity2,MovementVelocity1,,,,,,,,Boots
BOOTS (INT),PREFIX,# to maximum Energy Shield,LocalIncreasedEnergyShield7,LocalIncreasedEnergyShield6,LocalIncreasedEnergyShield5,LocalIncreasedEnergyShield4,LocalIncreasedEnergyShield3,LocalIncreasedEnergyShield2,LocalIncreasedEnergyShield1,,,,,,,Boots
BOOTS (INT),PREFIX,# to maximum Life,IncreasedLife9,IncreasedLife8,IncreasedLife7,IncreasedLife6,IncreasedLife5,IncreasedLife4,IncreasedLife3,IncreasedLife2,IncreasedLife1,,,,,Boots
BOOTS (INT),PREFIX,# to maximum Mana,IncreasedMana9,IncreasedMana8,IncreasedMana7,IncreasedMana6,IncreasedMana5,IncreasedMana4,IncreasedMana3,IncreasedMana2,IncreasedMana1,,,,,Boots
BOOTS (INT),SUFFIX,# Life Regeneration per second,LifeRegeneration8_,LifeRegeneration7,LifeRegeneration6,LifeRegeneration5,LifeRegeneration4,LifeRegeneration3,LifeRegeneration2,LifeRegeneration1,,,,,,Boots
BOOTS (INT),SUFFIX,#% increased Rarity of Items found,ItemFoundRarityIncrease3,ItemFoundRarityIncrease2,ItemFoundRarityIncrease1,,,,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% reduced Attribute Requirements,ReducedLocalAttributeRequirements5,ReducedLocalAttributeRequirements4,ReducedLocalAttributeRequirements3,ReducedLocalAttributeRequirements2,ReducedLocalAttributeRequirements1,,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% reduced Chill Duration on you,ReducedChillDuration5,ReducedChillDuration4,ReducedChillDuration3,ReducedChillDuration2,ReducedChillDuration1,,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% reduced Freeze Duration on you,ReducedFreezeDuration5,ReducedFreezeDuration4,ReducedFreezeDuration3,ReducedFreezeDuration2,ReducedFreezeDuration1,,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% reduced Shock duration on you,ReducedShockDuration5,ReducedShockDuration4,ReducedShockDuration3,ReducedShockDuration2,ReducedShockDuration1,,,,,,,,,Boots
BOOTS (INT),SUFFIX,# to Intelligence,Intelligence8,Intelligence7,Intelligence6,Intelligence5,Intelligence4,Intelligence3,Intelligence2,Intelligence1,,,,,,Boots
BOOTS (INT),SUFFIX,# to Stun Threshold,StunThreshold11,StunThreshold10,StunThreshold9,StunThreshold8,StunThreshold7,StunThreshold6,StunThreshold5,StunThreshold4,StunThreshold3,StunThreshold2,StunThreshold1,,,Boots
BOOTS (INT),SUFFIX,#% to Chaos Resistance,ChaosResist6,ChaosResist5,ChaosResist4,ChaosResist3,ChaosResist2,ChaosResist1,,,,,,,,Boots
