BASE,TYPE,NAME,1,2,3,4,5,6,7,8,9,10,11,12,13,ItemClass
BOOTS (INT),PREFIX,#% increased Energy Shield,Unassailable,Indomitable,Dauntless,Fearless,Resolute,Strong-Willed,Protective,,,,,,,Boots
BOOTS (INT),PREFIX,"#% increased Energy Shield, # to Stun Threshold",Seraphim's,Djinn's,Naga's,Boggart's,Gremlin's,Pixie's,,,,,,,,Boots
BOOTS (INT),PREFIX,#% increased Movement Speed,Hellion's,Cheetah's,Gazelle's,Stallion's,Sprinter's,Runner's,,,,,,,,Boots
BOOTS (INT),PREFIX,# to maximum Energy Shield,Blazing,Pulsing,Radiating,Glowing,Glittering,Glimmering,Shining,,,,,,,Boots
BOOTS (INT),PREFIX,# to maximum Life,Athlete's,Virile,Rotund,Robust,Stout,Stalwart,Sanguine,Healthy,Hale,,,,,Boots
BOOTS (INT),PREFIX,# to maximum Mana,Chalybeous,Gentian,Opalescent,Aqua,Cerulean,Teal,Azure,Cobalt,Beryl,,,,,Boots
BOOTS (INT),SUFFIX,# Life Regeneration per second,of Recuperation,of Convalescence,of the Troll,of the Hydra,of the Starfish,of the Flatworm,of the Lizard,of the Newt,,,,,,Boots
BOOTS (INT),SUFFIX,#% increased Rarity of Items found,of Archaeology,of Raiding,of Plunder,,,,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% reduced Attribute Requirements,of the Proficient,of the Skilled,of the Talented,of the Apt,of the Worthy,,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% reduced Chill Duration on you,of the Reversal,of Dissipation,of Entropy,of Fluidity,of Convection,,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% reduced Freeze Duration on you,of Thawing,of the Temperate,of Defrosting,of Unfreezing,of Heating,,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% reduced Shock duration on you,of Grounding,of the Dielectric,of the Impedance,of Insulation,of Earthing,,,,,,,,,Boots
BOOTS (INT),SUFFIX,# to Intelligence,of the Virtuoso,of the Savant,of the Sage,of the Philosopher,of the Augur,of the Prodigy,of the Student,of the Pupil,,,,,,Boots
BOOTS (INT),SUFFIX,# to Stun Threshold,of Titanium Skin,of Obsidian Skin,of Corundum Skin,of Adamantite Skin,of Platinum Skin,of Granite Skin,of Steel Skin,of Iron Skin,of Stone Skin,of Reinforced Skin,of Thick Skin,,,Boots
BOOTS (INT),SUFFIX,#% to Chaos Resistance,of Bameth,of Exile,of Expulsion,of Eviction,of Banishment,of the Lost,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% to Cold Resistance,of Haast,of the Ice,of the Polar Bear,of the Walrus,of the Yeti,of the Narwhal,of the Penguin,of the Seal,,,,,,Boots
BOOTS (INT),SUFFIX,#% to Fire Resistance,of Tzteosh,of Magma,of the Volcano,of the Furnace,of the Kiln,of the Drake,of the Salamander,of the Whelpling,,,,,,Boots
BOOTS (INT),SUFFIX,#% to Lightning Resistance,of Ephij,of the Lightning,of the Maelstrom,of the Tempest,of the Thunderhead,of the Storm,of the Squall,of the Cloud,,,,,,Boots
BOOTS (INT),SUFFIX,#% increased Energy Shield Recharge Rate,of Buffering,of Dispersal,of Diffusion,of Enlivening,,,,,,,,,,Boots
BOOTS (DEX),PREFIX,#% increased Evasion Rating,Mirage's,Nightmare's,Phantasm's,Wraith's,Spectre's,Ghost's,Shade's,,,,,,,Boots
BOOTS (DEX),PREFIX,"#% increased Evasion Rating, # to Stun Threshold",Hummingbird's,Dragonfly's,Wasp's,Butterfly's,Moth's,Mosquito's,,,,,,,,Boots
BOOTS (DEX),PREFIX,#% increased Movement Speed,Hellion's,Cheetah's,Gazelle's,Stallion's,Sprinter's,Runner's,,,,,,,,Boots
BOOTS (DEX),PREFIX,# to Evasion Rating,Vaporous,Phased,Blurred,Fleet,Acrobat's,Dancer's,Agile,,,,,,,Boots
BOOTS (DEX),PREFIX,# to maximum Life,Athlete's,Virile,Rotund,Robust,Stout,Stalwart,Sanguine,Healthy,Hale,,,,,Boots
BOOTS (DEX),PREFIX,# to maximum Mana,Chalybeous,Gentian,Opalescent,Aqua,Cerulean,Teal,Azure,Cobalt,Beryl,,,,,Boots
BOOTS (DEX),SUFFIX,# Life Regeneration per second,of Recuperation,of Convalescence,of the Troll,of the Hydra,of the Starfish,of the Flatworm,of the Lizard,of the Newt,,,,,,Boots
BOOTS (DEX),SUFFIX,#% increased Rarity of Items found,of Archaeology,of Raiding,of Plunder,,,,,,,,,,,Boots
