BASE,TYPE,NAME,1,2,3,4,5,6,7,8,9,10,11,12,13,ItemClass
BOOTS (INT),PREFIX,#% increased Energy Shield,65,60,54,46,33,16,2,,,,,,,Boots
BOOTS (INT),PREFIX,"#% increased Energy Shield, # to Stun Threshold",74,63,48,38,19,10,,,,,,,,Boots
BOOTS (INT),PREFIX,#% increased Movement Speed,82,65,46,33,16,1,,,,,,,,Boots
BOOTS (INT),PREFIX,# to maximum Energy Shield,54,46,33,25,16,8,1,,,,,,,Boots
BOOTS (INT),PREFIX,# to maximum Life,60,54,46,38,33,24,16,6,1,,,,,Boots
BOOTS (INT),PREFIX,# to maximum Mana,60,54,46,38,33,25,16,6,1,,,,,Boots
BOOTS (INT),SUFFIX,# Life Regeneration per second,58,47,35,26,17,11,5,1,,,,,,Boots
BOOTS (INT),SUFFIX,#% increased Rarity of Items found,40,24,3,,,,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% reduced Attribute Requirements,60,52,40,32,24,,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% reduced Chill Duration on you,75,63,49,36,20,,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% reduced Freeze Duration on you,75,63,49,36,20,,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% reduced Shock duration on you,75,63,49,36,20,,,,,,,,,Boots
BOOTS (INT),SUFFIX,# to Intelligence,74,66,55,44,33,22,11,1,,,,,,Boots
BOOTS (INT),SUFFIX,# to Stun Threshold,80,72,63,54,45,36,29,22,15,8,1,,,Boots
BOOTS (INT),SUFFIX,#% to Chaos Resistance,81,68,56,44,30,16,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% to Cold Resistance,82,71,60,50,38,26,14,1,,,,,,Boots
BOOTS (INT),SUFFIX,#% to Fire Resistance,82,71,60,48,36,24,12,1,,,,,,Boots
BOOTS (INT),SUFFIX,#% to Lightning Resistance,82,71,60,49,37,25,13,1,,,,,,Boots
BOOTS (INT),SUFFIX,#% increased Energy Shield Recharge Rate,48,36,30,30,,,,,,,,,,Boots
BOOTS (DEX),PREFIX,#% increased Evasion Rating,65,60,54,46,33,16,2,,,,,,,Boots
BOOTS (DEX),PREFIX,"#% increased Evasion Rating, # to Stun Threshold",74,63,48,38,19,10,,,,,,,,Boots
BOOTS (DEX),PREFIX,#% increased Movement Speed,82,65,46,33,16,1,,,,,,,,Boots
BOOTS (DEX),PREFIX,# to Evasion Rating,54,46,33,25,16,8,1,,,,,,,Boots
BOOTS (DEX),PREFIX,# to maximum Life,60,54,46,38,33,24,16,6,1,,,,,Boots
BOOTS (DEX),PREFIX,# to maximum Mana,60,54,46,38,33,25,16,6,1,,,,,Boots
BOOTS (DEX),SUFFIX,# Life Regeneration per second,58,47,35,26,17,11,5,1,,,,,,Boots
BOOTS (DEX),SUFFIX,#% increased Rarity of Items found,40,24,3,,,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% reduced Attribute Requirements,60,52,40,32,24,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% reduced Chill Duration on you,75,63,49,36,20,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% reduced Freeze Duration on you,75,63,49,36,20,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% reduced Shock duration on you,75,63,49,36,20,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,# to Dexterity,74,66,55,44,33,22,11,1,,,,,,Boots
BOOTS (DEX),SUFFIX,# to Stun Threshold,80,72,63,54,45,36,29,22,15,8,1,,,Boots
BOOTS (DEX),SUFFIX,#% to Chaos Resistance,81,68,56,44,30,16,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% to Cold Resistance,82,71,60,50,38,26,14,1,,,,,,Boots
BOOTS (DEX),SUFFIX,#% to Fire Resistance,82,71,60,48,36,24,12,1,,,,,,Boots
BOOTS (DEX),SUFFIX,#% to Lightning Resistance,82,71,60,49,37,25,13,1,,,,,,Boots
BOOTS (DEX),SUFFIX,Gain Deflection Rating equal to #% of Evasion Rating,66,48,36,30,30,,,,,,,,,Boots
BOOTS (STR),PREFIX,#% increased Armour,65,60,54,46,35,16,2,,,,,,,Boots
BOOTS (STR),PREFIX,"#% increased Armour, # to Stun Threshold",74,63,48,38,19,10,,,,,,,,Boots
BOOTS (STR),PREFIX,#% increased Movement Speed,82,65,46,33,16,1,,,,,,,,Boots
BOOTS (STR),PREFIX,# to Armour,54,46,33,25,16,8,1,,,,,,,Boots
BOOTS (STR),PREFIX,# to maximum Life,60,54,46,38,33,24,16,6,1,,,,,Boots
BOOTS (STR),PREFIX,# to maximum Mana,60,54,46,38,33,25,16,6,1,,,,,Boots
BOOTS (STR),SUFFIX,# Life Regeneration per second,58,47,35,26,17,11,5,1,,,,,,Boots
BOOTS (STR),SUFFIX,#% increased Rarity of Items found,40,24,3,,,,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% reduced Attribute Requirements,60,52,40,32,24,,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% reduced Chill Duration on you,75,63,49,36,20,,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% reduced Freeze Duration on you,75,63,49,36,20,,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% reduced Shock duration on you,75,63,49,36,20,,,,,,,,,Boots
BOOTS (STR),SUFFIX,# to Strength,74,66,55,44,33,22,11,1,,,,,,Boots
BOOTS (STR),SUFFIX,# to Stun Threshold,80,72,63,54,45,36,29,22,15,8,1,,,Boots
BOOTS (STR),SUFFIX,#% to Chaos Resistance,81,68,56,44,30,16,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% to Cold Resistance,82,71,60,50,38,26,14,1,,,,,,Boots
BOOTS (STR),SUFFIX,#% to Fire Resistance,82,71,60,48,36,24,12,1,,,,,,Boots
BOOTS (STR),SUFFIX,#% to Lightning Resistance,82,71,60,49,37,25,13,1,,,,,,Boots
BOOTS (STR),SUFFIX,#% of Armour also applies to Elemental Damage,66,48,36,30,30,,,,,,,,,Boots
BOOTS (DEX/INT),PREFIX,#% increased Evasion and Energy Shield,65,60,54,46,33,16,2,,,,,,,Boots
BOOTS (DEX/INT),PREFIX,"#% increased Evasion and Energy Shield, # to Stun Threshold",74,63,48,38,19,10,,,,,,,,Boots
BOOTS (DEX/INT),PREFIX,#% increased Movement Speed,82,65,46,33,16,1,,,,,,,,Boots
BOOTS (DEX/INT),PREFIX,"# to Evasion Rating, # to maximum Energy Shield",46,33,16,1,,,,,,,,,,Boots
BOOTS (DEX/INT),PREFIX,# to maximum Life,60,54,46,38,33,24,16,6,1,,,,,Boots
BOOTS (DEX/INT),PREFIX,# to maximum Mana,60,54,46,38,33,25,16,6,1,,,,,Boots
BOOTS (DEX/INT),SUFFIX,# Life Regeneration per second,58,47,35,26,17,11,5,1,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% increased Rarity of Items found,40,24,3,,,,,,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% reduced Attribute Requirements,60,52,40,32,24,,,,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% reduced Chill Duration on you,75,63,49,36,20,,,,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% reduced Freeze Duration on you,75,63,49,36,20,,,,,,,,,Boots
