BASE,TYPE,NAME,1,2,3,4,5,6,7,8,9,10,11,12,13,ItemClass
BOOTS (INT),PREFIX,#% increased Energy Shield,1000,1000,1000,1000,1000,1000,1000,,,,,,,Boots
BOOTS (INT),PREFIX,"#% increased Energy Shield, # to Stun Threshold",1000,1000,1000,1000,1000,1000,,,,,,,,Boots
BOOTS (INT),PREFIX,#% increased Movement Speed,1000,1000,1000,1000,1000,1000,,,,,,,,Boots
BOOTS (INT),PREFIX,# to maximum Energy Shield,1000,1000,1000,1000,1000,1000,1000,,,,,,,Boots
BOOTS (INT),PREFIX,# to maximum Life,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,,,Boots
BOOTS (INT),PREFIX,# to maximum Mana,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,,,Boots
BOOTS (INT),SUFFIX,# Life Regeneration per second,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,Boots
BOOTS (INT),SUFFIX,#% increased Rarity of Items found,1000,1000,1000,,,,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% reduced Attribute Requirements,750,750,750,750,750,,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% reduced Chill Duration on you,500,500,500,500,500,,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% reduced Freeze Duration on you,500,500,500,500,500,,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% reduced Shock duration on you,500,500,500,500,500,,,,,,,,,Boots
BOOTS (INT),SUFFIX,# to Intelligence,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,Boots
BOOTS (INT),SUFFIX,# to Stun Threshold,800,800,800,800,800,800,800,800,800,800,800,,,Boots
BOOTS (INT),SUFFIX,#% to Chaos Resistance,250,250,250,250,250,250,,,,,,,,Boots
BOOTS (INT),SUFFIX,#% to Cold Resistance,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,Boots
BOOTS (INT),SUFFIX,#% to Fire Resistance,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,Boots
BOOTS (INT),SUFFIX,#% to Lightning Resistance,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,Boots
BOOTS (INT),SUFFIX,#% increased Energy Shield Recharge Rate,1000,1000,1000,1000,,,,,,,,,,Boots
BOOTS (DEX),PREFIX,#% increased Evasion Rating,1000,1000,1000,1000,1000,1000,1000,,,,,,,Boots
BOOTS (DEX),PREFIX,"#% increased Evasion Rating, # to Stun Threshold",1000,1000,1000,1000,1000,1000,,,,,,,,Boots
BOOTS (DEX),PREFIX,#% increased Movement Speed,1000,1000,1000,1000,1000,1000,,,,,,,,Boots
BOOTS (DEX),PREFIX,# to Evasion Rating,1000,1000,1000,1000,1000,1000,1000,,,,,,,Boots
BOOTS (DEX),PREFIX,# to maximum Life,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,,,Boots
BOOTS (DEX),PREFIX,# to maximum Mana,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,,,Boots
BOOTS (DEX),SUFFIX,# Life Regeneration per second,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,Boots
BOOTS (DEX),SUFFIX,#% increased Rarity of Items found,1000,1000,1000,,,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% reduced Attribute Requirements,750,750,750,750,750,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% reduced Chill Duration on you,500,500,500,500,500,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% reduced Freeze Duration on you,500,500,500,500,500,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% reduced Shock duration on you,500,500,500,500,500,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,# to Dexterity,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,Boots
BOOTS (DEX),SUFFIX,# to Stun Threshold,800,800,800,800,800,800,800,800,800,800,800,,,Boots
BOOTS (DEX),SUFFIX,#% to Chaos Resistance,250,250,250,250,250,250,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% to Cold Resistance,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,Boots
BOOTS (DEX),SUFFIX,#% to Fire Resistance,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,Boots
BOOTS (DEX),SUFFIX,#% to Lightning Resistance,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,Boots
BOOTS (DEX),SUFFIX,Gain Deflection Rating equal to #% of Evasion Rating,1000,1000,1000,1000,1000,,,,,,,,,Boots
BOOTS (STR),PREFIX,#% increased Armour,1000,1000,1000,1000,1000,1000,1000,,,,,,,Boots
BOOTS (STR),PREFIX,"#% increased Armour, # to Stun Threshold",1000,1000,1000,1000,1000,1000,,,,,,,,Boots
BOOTS (STR),PREFIX,#% increased Movement Speed,1000,1000,1000,1000,1000,1000,,,,,,,,Boots
BOOTS (STR),PREFIX,# to Armour,1000,1000,1000,1000,1000,1000,1000,,,,,,,Boots
BOOTS (STR),PREFIX,# to maximum Life,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,,,Boots
BOOTS (STR),PREFIX,# to maximum Mana,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,,,Boots
BOOTS (STR),SUFFIX,# Life Regeneration per second,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,Boots
BOOTS (STR),SUFFIX,#% increased Rarity of Items found,1000,1000,1000,,,,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% reduced Attribute Requirements,750,750,750,750,750,,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% reduced Chill Duration on you,500,500,500,500,500,,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% reduced Freeze Duration on you,500,500,500,500,500,,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% reduced Shock duration on you,500,500,500,500,500,,,,,,,,,Boots
